===== Experiment condition =====
COUNT=1000
INTERVAL=0.005
HISTORY_TIMEOUT=30
TRIALS=3
LOSS_LIST=0 1 5 10 20

===== Summary CSV =====
run_dir,timestamp,tag,mode,loss1_pct,loss2_pct,configured_count,interval_sec,history_timeout_sec,flow_id,run_id,sent_count,recv_count_unique,recv_count_total,missing_count,delivery_rate,residual_loss_rate,residual_loss_pct,pef_pass_count,pef_drop_duplicate_count,pef_false_drop_count,receiver_duplicate_leak_count,pef_max_seen_entries,path1_pass_count,path2_pass_count,path1_drop_count,path2_drop_count,delta_ms_avg,delta_ms_min,delta_ms_max
results/20260530_004247_single_loss0_trial1_single_l1-0_l2-0,20260530_004247,single_loss0_trial1,single,0,0,1000,0.005,30,1,9681341130761126947,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,0,0,0,1000,1000,0,0,0,0.000000,0.000000,0.000000
results/20260530_004302_dual_loss0_trial1_dual_l1-0_l2-0,20260530_004302,dual_loss0_trial1,dual,0,0,1000,0.005,30,1,7307134297467178709,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,1000,0,0,1000,1000,0,0,1000,0.285150,0.098000,1.304000
results/20260530_004317_single_loss0_trial2_single_l1-0_l2-0,20260530_004317,single_loss0_trial2,single,0,0,1000,0.005,30,1,17269703086618240542,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,0,0,0,1000,1000,0,0,0,0.000000,0.000000,0.000000
results/20260530_004332_dual_loss0_trial2_dual_l1-0_l2-0,20260530_004332,dual_loss0_trial2,dual,0,0,1000,0.005,30,1,1120308727163843381,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,1000,0,0,1000,1000,0,0,1000,0.292497,0.091000,1.546000
results/20260530_004347_single_loss0_trial3_single_l1-0_l2-0,20260530_004347,single_loss0_trial3,single,0,0,1000,0.005,30,1,16211243557088136086,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,0,0,0,1000,1000,0,0,0,0.000000,0.000000,0.000000
results/20260530_004402_dual_loss0_trial3_dual_l1-0_l2-0,20260530_004402,dual_loss0_trial3,dual,0,0,1000,0.005,30,1,16445969237490970249,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,1000,0,0,1000,1000,0,0,1000,0.307316,0.096000,1.650000
results/20260530_004417_single_loss1_trial1_single_l1-1_l2-0,20260530_004417,single_loss1_trial1,single,1,0,1000,0.005,30,1,11431414032649299980,1000,990,990,10,0.990000,0.010000,1.0000,990,0,0,0,990,990,0,0,0,0.000000,0.000000,0.000000
results/20260530_004432_dual_loss1_trial1_dual_l1-1_l2-1,20260530_004432,dual_loss1_trial1,dual,1,1,1000,0.005,30,1,17863912570173411744,1000,999,999,1,0.999000,0.001000,0.1000,999,983,0,0,999,992,7,0,983,0.278640,0.097000,0.618000
results/20260530_004447_single_loss1_trial2_single_l1-1_l2-0,20260530_004447,single_loss1_trial2,single,1,0,1000,0.005,30,1,11449091797868375847,1000,993,993,7,0.993000,0.007000,0.7000,993,0,0,0,993,993,0,0,0,0.000000,0.000000,0.000000
results/20260530_004502_dual_loss1_trial2_dual_l1-1_l2-1,20260530_004502,dual_loss1_trial2,dual,1,1,1000,0.005,30,1,9199254891383385486,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,988,0,0,1000,995,5,0,988,0.284590,0.092000,1.554000
results/20260530_004517_single_loss1_trial3_single_l1-1_l2-0,20260530_004517,single_loss1_trial3,single,1,0,1000,0.005,30,1,12367983942653320002,1000,988,988,12,0.988000,0.012000,1.2000,988,0,0,0,988,988,0,0,0,0.000000,0.000000,0.000000
results/20260530_004532_dual_loss1_trial3_dual_l1-1_l2-1,20260530_004532,dual_loss1_trial3,dual,1,1,1000,0.005,30,1,13929951316558770143,1000,1000,1000,0,1.000000,0.000000,0.0000,1000,977,0,0,1000,989,11,0,977,0.307301,0.103000,1.780000
results/20260530_004547_single_loss5_trial1_single_l1-5_l2-0,20260530_004547,single_loss5_trial1,single,5,0,1000,0.005,30,1,12610061139937414902,1000,952,952,48,0.952000,0.048000,4.8000,952,0,0,0,952,952,0,0,0,0.000000,0.000000,0.000000
results/20260530_004602_dual_loss5_trial1_dual_l1-5_l2-5,20260530_004602,dual_loss5_trial1,dual,5,5,1000,0.005,30,1,6481259012215308246,1000,999,999,1,0.999000,0.001000,0.1000,999,885,0,0,999,949,50,0,885,0.289470,0.109000,1.308000
results/20260530_004617_single_loss5_trial2_single_l1-5_l2-0,20260530_004617,single_loss5_trial2,single,5,0,1000,0.005,30,1,14000809140790296264,1000,957,957,43,0.957000,0.043000,4.3000,957,0,0,0,957,957,0,0,0,0.000000,0.000000,0.000000
results/20260530_004633_dual_loss5_trial2_dual_l1-5_l2-5,20260530_004633,dual_loss5_trial2,dual,5,5,1000,0.005,30,1,10118964548649494230,1000,999,999,1,0.999000,0.001000,0.1000,999,913,0,0,999,952,47,0,913,0.300149,0.109000,0.738000
results/20260530_004648_single_loss5_trial3_single_l1-5_l2-0,20260530_004648,single_loss5_trial3,single,5,0,1000,0.005,30,1,14634656730364443911,1000,947,947,53,0.947000,0.053000,5.3000,947,0,0,0,947,947,0,0,0,0.000000,0.000000,0.000000
results/20260530_004703_dual_loss5_trial3_dual_l1-5_l2-5,20260530_004703,dual_loss5_trial3,dual,5,5,1000,0.005,30,1,18276784402949470380,1000,997,997,3,0.997000,0.003000,0.3000,997,891,0,0,997,939,58,0,891,0.294407,0.105000,1.211000
